the_geom,cartodb_id,year,lead_ppb,address,zipcode,latitude,longitude
0101000020E6100000069D103AE8B753C026E0D748127A4540,30,2002,2,"15 Cecil Buffalo, NY, 14216",14216,42.953683,-78.873549
0101000020E6100000FB9E477BF2B553C07F9CD5A7C1794540,31,2002,2,"32 Covington Buffalo, NY, 14216",14216,42.9512224,-78.8429249
0101000020E61000008675E3DD91B653C0C4279D4830794540,32,2002,2,"79 Sterling Avenue Buffalo, NY, 14216",14216,42.946786,-78.852653
0101000020E610000049BDA772DAB353C0F9A3A833F76A4540,33,2002,2,"124 Whitehall Buffalo, NY, 14220",14220,42.835669,-78.810208
0101000020E61000005D33F9669BB453C01EA5129ED06B4540,34,2002,2,"44 Woodside Buffalo, NY, 14220",14220,42.842304,-78.821985
0101000020E61000005E521097F7B753C077C54263DC744540,35,2002,2,"120 Lexington Buffalo, NY, 14222",14222,42.9129757,-78.8744867
0101000020E6100000B1506B9A77B853C0E2AC889AE8734540,36,2002,2,"116 Richmond Avenue Buffalo, NY, 14222",14222,42.905536,-78.8823
0101000020E61000000FED6305BFB953C09F91088D60794540,37,2002,3,"18 Progressive Buffalo, NY, 14207",14207,42.948259,-78.902284
0101000020E6100000CA1AF5108DB953C0F9F6AE415F7A4540,38,2002,3,"28 Henrietta Buffalo, NY, 14207",14207,42.956032,-78.899235
0101000020E6100000BCCB457C27B653C04C1762F547724540,39,2002,3,"42 Fox Buffalo, NY, 14212",14212,42.892821,-78.84616
0101000020E610000096C338C9A0B653C0B5AC5681B5784540,40,2002,3,"718 Crescent Buffalo, NY, 14216",14216,42.9430391,-78.8535636
0101000020E61000001940530A15B453C0A4F78DAF3D6C4540,41,2002,3,"290 Choate Buffalo, NY, 14220",14220,42.8456325,-78.8137842
0101000020E61000004B6F2475A7B353C0AAB0BE26106F4540,42,2002,4,"102 Cable Buffalo, NY, 14206",14206,42.8676804,-78.8070958
0101000020E61000009BC761307FB953C0D5AF743E3C7B4540,43,2002,4,"69 Albemarle Buffalo, NY, 14207",14207,42.962776,-78.898388
0101000020E61000007155D97745B953C07AC8940F417B4540,44,2002,5,"113 Doyle Buffalo, NY, 14207",14207,42.962923,-78.894865
0101000020E61000002B52BC2594B353C04BC164F4ED734540,45,2002,5,"817 Walden Buffalo, NY, 14211",14211,42.9056993,-78.8059172
0101000020E61000009E45EF54C0B753C0646EBE11DD794540,46,2002,5,"156 Stratford Buffalo, NY, 14216",14216,42.952059,-78.871114
0101000020E6100000349E08E23CB653C0C6BFCFB870784540,47,2002,7,"279 Summit Buffalo, NY, 14214",14214,42.94094,-78.847466
0101000020E61000002BAF4B43C3B753C01F3A4E1B1F7A4540,48,2002,7,"155 Avery Buffalo, NY, 14216",14216,42.9540743,-78.8712929
0101000020E61000009EB29AAE27B653C025AB22DC64784540,49,2002,8,"487 Crescent Buffalo, NY, 14214",14214,42.940578,-78.846172
0101000020E6100000D8CD8C7E34B553C01951DA1B7C774540,50,2002,8,"21 Hill Buffalo, NY, 14214",14214,42.933475,-78.831329
0101000020E610000084F068E388B953C02DD1596611784540,51,2002,9,"78 Gorton Street Buffalo, NY, 14207",14207,42.938031,-78.89898
0101000020E6100000D4D51D8B6DB653C0618E1EBFB7734540,52,2002,10,"480 Best Buffalo, NY, 14208",14208,42.904045,-78.850436
0101000020E610000044C4CDA964B953C0F584251E50764540,53,2002,14,"72 Potomac Buffalo, NY, 14213",14213,42.92432,-78.896769
0101000020E6100000E49EAEEE58B753C0020EA14ACD6E4540,54,2005,0,"14 Tennessee Buffalo, NY, 14204",14204,42.86564,-78.864803
0101000020E610000092E9D0E979B653C09370218FE0704540,55,2005,0,"68 Adam Buffalo, NY, 14206",14206,42.881853,-78.851191
0101000020E6100000B5A1629CBFB853C033A083D3277A4540,56,2005,0,"106 Rebecca Buffalo, NY, 14207",14207,42.9543404,-78.886695
0101000020E6100000C39D0B23BDB953C04CFE277FF77A4540,57,2005,0,"221 Roesch Buffalo, NY, 14207",14207,42.960678,-78.902169
0101000020E6100000F294D5743DB653C04BAC8C463E754540,58,2005,0,"125 Butler Buffalo, NY, 14208",14208,42.915963,-78.847501
0101000020E610000027F04E3E3DB653C0FCC3961E4D754540,59,2005,0,"126 Butler Buffalo, NY, 14208",14208,42.916416,-78.847488
0101000020E610000016342DB132B653C09949D40B3E754540,60,2005,0,"141 Butler Buffalo, NY, 14208",14208,42.915956,-78.846844
0101000020E610000017963FDF16B653C0D57B2AA73D754540,61,2005,0,"187 Butler Buffalo, NY, 14208",14208,42.915944,-78.845146
0101000020E61000006490BB0853B553C098158A743F6F4540,62,2005,0,"16 Oakdale Buffalo, NY, 14210",14210,42.869124,-78.833193
0101000020E610000082893F8A3AB453C0072461DF4E6E4540,63,2005,0,"38 Sage Buffalo, NY, 14210",14210,42.861782,-78.816073
0101000020E6100000C5E74EB0FFB353C0D84812842B6E4540,64,2005,0,"72 Roanoke Buffalo, NY, 14210",14210,42.860703,-78.812481
0101000020E61000007F9F71E140B453C083DE1B43006E4540,65,2005,0,"90 Hammerschmidt Buffalo, NY, 14210",14210,42.859383,-78.81646
0101000020E6100000145D177E70B653C07689EAAD81734540,66,2005,0,"78 Timon St Buffalo, NY, 14211",14211,42.902395,-78.850616
0101000020E61000000D6FD6E07DB853C019DC20A4B8754540,67,2005,0,"20 Colonial Circle Buffalo, NY, 14213",14213,42.9196973,-78.882683
0101000020E6100000427C60C77FB853C0484F9143C4754540,68,2005,0,"32 Colonial Ci:cle Buffalo, NY, 14213",14213,42.920052,-78.882799
0101000020E6100000AC014A438DB853C003965CC5E2754540,69,2005,0,"39 Ardmore Buffalo, NY, 14213",14213,42.920983,-78.883622
0101000020E610000070F7281282B853C0008DD2A57F754540,70,2005,0,"87 Livingston Buffalo, NY, 14213",14213,42.917958,-78.8829389
0101000020E6100000D8CD8C7E34B553C01951DA1B7C774540,71,2005,0,"21 Hill Buffalo, NY, 14214",14214,42.933475,-78.831329
0101000020E610000083143C85DCB553C014D2D0F533784540,72,2005,0,"64 Vernon Buffalo, NY, 14214",14214,42.9390857,-78.8415845
0101000020E6100000C93CF20703B553C0DB17D00B77764540,73,2005,0,"116 Durham Buffalo, NY, 14215",14215,42.925508,-78.82831
0101000020E6100000ADA6EB89AEB353C04DA1F31ABB784540,74,2005,0,"461 Dartmouth Buffalo, NY, 14215",14215,42.94321,-78.807528
0101000020E6100000FB9E477BF2B553C07F9CD5A7C1794540,75,2005,0,"32 Covington Buffalo, NY, 14216",14216,42.9512224,-78.8429249
0101000020E6100000D6F7E12021B753C085562767287A4540,76,2005,0,"335 Commonwealth Buffalo, NY, 14216",14216,42.954358,-78.861397
0101000020E6100000112BED1E6AB753C0D4884FF003794540,77,2005,0,"38 Tioga Buffalo, NY, 14216",14216,42.9454327,-78.8658521
0101000020E610000022718FA50FB653C0BD38F1D58E7A4540,78,2005,0,"55 Coburg Buffalo, NY, 14216",14216,42.957484,-78.844705
0101000020E61000008675E3DD91B653C0C4279D4830794540,79,2005,0,"79 Sterling Buffalo, NY, 14216",14216,42.946786,-78.852653
0101000020E610000049F3C7B436B453C0C7BAB88D066C4540,80,2005,0,"24 McClellan Buffalo, NY, 14220",14220,42.84395,-78.815839
